UniversityLabel,AlumnusLabel,EmployerLabel,BirthPlaceLabel,ULocationLabel,OccupationLabel,DateOfDeathLabel,DateOfBirthLabel,FoundationDateLabel,ELocationLabel
Lund University,Johan Wilhelm Dalman,Karolinska Institute,Sweden,Lund Municipality,physician,1828-07-12T00:00:00Z,1787-11-04T00:00:00Z,1666-12-19T00:00:00Z,Solna Municipality
Lund University,Johan Wilhelm Dalman,Karolinska Institute,Sweden,Lund Municipality,lepidopterist,1828-07-12T00:00:00Z,1787-11-04T00:00:00Z,1666-12-19T00:00:00Z,Solna Municipality
Lund University,Johan Wilhelm Dalman,Karolinska Institute,Sweden,Lund Municipality,university teacher,1828-07-12T00:00:00Z,1787-11-04T00:00:00Z,1666-12-19T00:00:00Z,Solna Municipality
Lund University,Johan Wilhelm Dalman,Karolinska Institute,Sweden,Lund Municipality,paleontologist,1828-07-12T00:00:00Z,1787-11-04T00:00:00Z,1666-12-19T00:00:00Z,Solna Municipality
Lund University,Johan Wilhelm Dalman,Karolinska Institute,Sweden,Lund Municipality,botanist,1828-07-12T00:00:00Z,1787-11-04T00:00:00Z,1666-12-19T00:00:00Z,Solna Municipality
Royal Institute of Technology,Peter Celsing,Royal Institute of Technology,Stockholm,Stockholm Municipality,architect,1974-03-16T00:00:00Z,1920-01-29T00:00:00Z,1827-01-01T00:00:00Z,Stockholm Municipality
Royal Institute of Technology,Peter Celsing,Royal Institute of Technology,Stockholm,Stockholm Municipality,university teacher,1974-03-16T00:00:00Z,1920-01-29T00:00:00Z,1827-01-01T00:00:00Z,Stockholm Municipality
Karolinska Institute,Pehr Victor Edman,Lund University,Stockholm,Solna Municipality,university teacher,1977-03-19T00:00:00Z,1916-04-14T00:00:00Z,1810-01-01T00:00:00Z,Lund Municipality
Lund University,Arvid Lindau,Lund University,Malmö Sankt Petri församling,Lund Municipality,pathologist,1958-09-07T00:00:00Z,1892-07-23T00:00:00Z,1666-12-19T00:00:00Z,Lund Municipality
Lund University,Arvid Lindau,Lund University,Malmö Sankt Petri församling,Lund Municipality,bacteriologist,1958-09-07T00:00:00Z,1892-07-23T00:00:00Z,1666-12-19T00:00:00Z,Lund Municipality
Stockholm University,Kai Siegbahn,Royal Institute of Technology,Lund,Stockholm Municipality,physicist,2007-07-20T00:00:00Z,1918-04-20T00:00:00Z,1878-01-01T00:00:00Z,Stockholm Municipality
Stockholm University,Kai Siegbahn,Royal Institute of Technology,Lund,Stockholm Municipality,university teacher,2007-07-20T00:00:00Z,1918-04-20T00:00:00Z,1878-01-01T00:00:00Z,Stockholm Municipality
Royal Institute of Technology,Ivar Otto Bendixson,Royal Institute of Technology,Oscars församling,Stockholm Municipality,mathematician,1935-11-29T00:00:00Z,1861-08-01T00:00:00Z,1827-01-01T00:00:00Z,Stockholm Municipality
Royal Institute of Technology,Ivar Otto Bendixson,Royal Institute of Technology,Oscars församling,Stockholm Municipality,university teacher,1935-11-29T00:00:00Z,1861-08-01T00:00:00Z,1827-01-01T00:00:00Z,Stockholm Municipality
Stockholm University,Joachim Israel,Lund University,Karlsruhe,Stockholm Municipality,university teacher,2001-05-15T00:00:00Z,1920-06-09T00:00:00Z,1878-01-01T00:00:00Z,Lund Municipality
Lund University,Sven Nilsson,Lund University,Landskrona,Lund Municipality,priest,1883-11-30T00:00:00Z,1787-03-08T00:00:00Z,1666-12-19T00:00:00Z,Lund Municipality
Lund University,Sven Nilsson,Lund University,Landskrona,Lund Municipality,zoologist,1883-11-30T00:00:00Z,1787-03-08T00:00:00Z,1666-12-19T00:00:00Z,Lund Municipality
Lund University,Sven Nilsson,Lund University,Landskrona,Lund Municipality,ornithologist,1883-11-30T00:00:00Z,1787-03-08T00:00:00Z,1666-12-19T00:00:00Z,Lund Municipality
Lund University,Sven Nilsson,Lund University,Landskrona,Lund Municipality,university teacher,1883-11-30T00:00:00Z,1787-03-08T00:00:00Z,1666-12-19T00:00:00Z,Lund Municipality
Lund University,Sven Nilsson,Lund University,Landskrona,Lund Municipality,archaeologist,1883-11-30T00:00:00Z,1787-03-08T00:00:00Z,1666-12-19T00:00:00Z,Lund Municipality
Lund University,Sven Nilsson,Lund University,Landskrona,Lund Municipality,anthropologist,1883-11-30T00:00:00Z,1787-03-08T00:00:00Z,1666-12-19T00:00:00Z,Lund Municipality
Lund University,Sven Nilsson,Lund University,Landskrona,Lund Municipality,prehistorian,1883-11-30T00:00:00Z,1787-03-08T00:00:00Z,1666-12-19T00:00:00Z,Lund Municipality
Karolinska Institute,Ulf von Euler,Karolinska Institute,Stockholm,Solna Municipality,pharmacist,1983-03-09T00:00:00Z,1905-02-07T00:00:00Z,1810-01-01T00:00:00Z,Solna Municipality
Karolinska Institute,Ulf von Euler,Karolinska Institute,Stockholm,Solna Municipality,physiologist,1983-03-09T00:00:00Z,1905-02-07T00:00:00Z,1810-01-01T00:00:00Z,Solna Municipality
Karolinska Institute,Ulf von Euler,Karolinska Institute,Stockholm,Solna Municipality,pharmacologist,1983-03-09T00:00:00Z,1905-02-07T00:00:00Z,1810-01-01T00:00:00Z,Solna Municipality
Karolinska Institute,Ulf von Euler,Karolinska Institute,Stockholm,Solna Municipality,neuroscientist,1983-03-09T00:00:00Z,1905-02-07T00:00:00Z,1810-01-01T00:00:00Z,Solna Municipality
Stockholm University,Oskar Klein,Leiden University,Stockholm,Stockholm Municipality,physicist,1977-02-05T00:00:00Z,1894-09-15T00:00:00Z,1878-01-01T00:00:00Z,Leiden
Stockholm University,Oskar Klein,Leiden University,Stockholm,Stockholm Municipality,university teacher,1977-02-05T00:00:00Z,1894-09-15T00:00:00Z,1878-01-01T00:00:00Z,Leiden
Stockholm University,Oskar Klein,Leiden University,Stockholm,Stockholm Municipality,theoretical physicist,1977-02-05T00:00:00Z,1894-09-15T00:00:00Z,1878-01-01T00:00:00Z,Leiden
Stockholm University,Oskar Klein,Stockholm University,Stockholm,Stockholm Municipality,physicist,1977-02-05T00:00:00Z,1894-09-15T00:00:00Z,1878-01-01T00:00:00Z,Stockholm Municipality
Stockholm University,Oskar Klein,Stockholm University,Stockholm,Stockholm Municipality,university teacher,1977-02-05T00:00:00Z,1894-09-15T00:00:00Z,1878-01-01T00:00:00Z,Stockholm Municipality
Stockholm University,Oskar Klein,Stockholm University,Stockholm,Stockholm Municipality,theoretical physicist,1977-02-05T00:00:00Z,1894-09-15T00:00:00Z,1878-01-01T00:00:00Z,Stockholm Municipality
Stockholm University,Oskar Klein,University of Michigan,Stockholm,Stockholm Municipality,physicist,1977-02-05T00:00:00Z,1894-09-15T00:00:00Z,1878-01-01T00:00:00Z,Ann Arbor
Stockholm University,Oskar Klein,University of Michigan,Stockholm,Stockholm Municipality,university teacher,1977-02-05T00:00:00Z,1894-09-15T00:00:00Z,1878-01-01T00:00:00Z,Ann Arbor
Stockholm University,Oskar Klein,University of Michigan,Stockholm,Stockholm Municipality,theoretical physicist,1977-02-05T00:00:00Z,1894-09-15T00:00:00Z,1878-01-01T00:00:00Z,Ann Arbor
Lund University,Frans Gustaf Emanuel Walberg,Lund University,Lund,Lund Municipality,university teacher,1951-11-27T00:00:00Z,1873-12-24T00:00:00Z,1666-12-19T00:00:00Z,Lund Municipality
Lund University,Frans Gustaf Emanuel Walberg,Lund University,Lund,Lund Municipality,romanist,1951-11-27T00:00:00Z,1873-12-24T00:00:00Z,1666-12-19T00:00:00Z,Lund Municipality
Stockholm University,Sune Bergström,Lund University,Stockholm,Stockholm Municipality,chemist,2004-08-15T00:00:00Z,1916-01-10T00:00:00Z,1878-01-01T00:00:00Z,Lund Municipality
